EC1_EC2	Num_of_prots
3.5.4.9_1.5.1.5	813
2.7.7.23_2.3.1.157	603
3.5.4.10_2.1.2.3	471
4.2.99.18_3.2.2.23	453
3.4.11.10_3.4.11.1	416
4.3.2.10_3.5.1.2	274
2.1.1.201_2.1.1.163	269
3.6.4.13_2.7.7.48	255
4.3.3.6_3.5.1.2	251
2.1.1.64_2.1.1.222	244
3.5.1.44_3.1.1.61	235
2.7.7.7_2.7.7.49	233
3.6.1.15_2.7.7.48	221
2.3.1.35_2.3.1.1	221
4.2.1.17_1.1.1.35	211
2.7.4.28_2.7.11.33	206
5.1.2.3_4.2.1.17	202
5.1.2.3_1.1.1.35	202
2.7.7.70_2.7.1.167	199
2.7.4.27_2.7.11.32	198
5.3.3.14_4.2.1.59	191
2.4.2.3_2.4.2.2	186
2.4.2.3_2.4.2.15	186
2.4.2.4_2.4.2.2	186
2.4.2.4_2.4.2.3	186
2.4.2.2_2.4.2.15	186
2.4.2.4_2.4.2.15	186
3.1.26.4_2.7.7.49	182
3.1.26.4_2.7.7.7	182
6.3.5.3_3.5.1.2	180
2.1.1.264_2.1.1.173	165
2.7.11.23_2.7.11.22	145
4.99.1.4_1.3.1.76	144
3.1.3.48_3.1.3.16	144
2.1.1.107_1.3.1.76	141
4.99.1.4_2.1.1.107	141
2.7.7.48_2.1.1.56	140
2.7.7.89_2.7.7.42	136
5.3.3.8_4.2.1.17	133
5.3.3.8_1.1.1.35	133
3.6.4.13_3.6.1.15	133
7.1.1.2_1.6.99.3	125
5.3.3.8_5.1.2.3	124
1.2.1.8_1.1.99.1	118
1.1.1.81_1.1.1.79	114
1.13.11.54_1.13.11.53	100
4.1.3.17_4.1.1.112	98
4.6.1.12_2.7.7.60	94
4.1.99.12_3.5.4.25	83
3.4.22.28_2.7.7.48	81
3.5.4.31_3.5.4.28	77
2.7.7.88_2.1.1.56	76
2.7.7.88_2.7.7.48	76
2.1.2.13_1.1.1.305	75
3.1.13.2_2.7.7.49	75
3.1.26.13_3.1.13.2	71
3.1.26.13_2.7.7.49	71
2.5.1.10_2.5.1.1	71
2.1.1.56_2.1.1.296	69
2.7.7.48_2.1.1.296	69
2.7.7.88_2.1.1.296	69
3.1.13.2_2.7.7.7	67
3.6.1.15_3.4.22.28	67
3.6.1.31_3.5.4.19	65
4.2.1.10_1.1.1.25	65
4.2.1.19_3.1.3.15	64
3.1.26.13_2.7.7.7	63
