,EC,Superpathway
0,ec:1.1.1.1,Carbohydrate metabolism
1,ec:1.1.1.2,Carbohydrate metabolism
2,ec:1.1.1.27,Carbohydrate metabolism
3,ec:1.1.2.7,Carbohydrate metabolism
4,ec:1.1.2.8,Carbohydrate metabolism
5,ec:1.1.5.5,Carbohydrate metabolism
6,ec:1.2.1.12,Carbohydrate metabolism
7,ec:1.2.1.3,Carbohydrate metabolism
8,ec:1.2.1.5,Carbohydrate metabolism
9,ec:1.2.1.59,Carbohydrate metabolism
10,ec:1.2.1.9,Carbohydrate metabolism
11,ec:1.2.1.90,Carbohydrate metabolism
12,ec:1.2.4.1,Carbohydrate metabolism
13,ec:1.2.7.1,Carbohydrate metabolism
14,ec:1.2.7.11,Carbohydrate metabolism
15,ec:1.2.7.6,Carbohydrate metabolism
16,ec:1.8.1.4,Carbohydrate metabolism
17,ec:2.3.1.12,Carbohydrate metabolism
18,ec:2.7.1.1,Carbohydrate metabolism
19,ec:2.7.1.11,Carbohydrate metabolism
20,ec:2.7.1.146,Carbohydrate metabolism
21,ec:2.7.1.147,Carbohydrate metabolism
22,ec:2.7.1.199,Carbohydrate metabolism
23,ec:2.7.1.2,Carbohydrate metabolism
24,ec:2.7.1.40,Carbohydrate metabolism
25,ec:2.7.1.63,Carbohydrate metabolism
26,ec:2.7.1.90,Carbohydrate metabolism
27,ec:2.7.2.3,Carbohydrate metabolism
28,ec:3.1.3.10,Carbohydrate metabolism
29,ec:3.1.3.11,Carbohydrate metabolism
30,ec:3.1.3.80,Carbohydrate metabolism
31,ec:3.1.3.9,Carbohydrate metabolism
32,ec:3.2.1.86,Carbohydrate metabolism
33,ec:4.1.1.1,Carbohydrate metabolism
34,ec:4.1.1.32,Carbohydrate metabolism
35,ec:4.1.1.49,Carbohydrate metabolism
36,ec:4.1.2.13,Carbohydrate metabolism
37,ec:4.2.1.11,Carbohydrate metabolism
38,ec:5.1.3.15,Carbohydrate metabolism
39,ec:5.1.3.3,Carbohydrate metabolism
40,ec:5.3.1.1,Carbohydrate metabolism
41,ec:5.3.1.9,Carbohydrate metabolism
42,ec:5.4.2.11,Carbohydrate metabolism
43,ec:5.4.2.12,Carbohydrate metabolism
44,ec:5.4.2.2,Carbohydrate metabolism
45,ec:5.4.2.4,Carbohydrate metabolism
46,ec:6.2.1.1,Carbohydrate metabolism
47,ec:6.2.1.13,Carbohydrate metabolism
48,ec:1.1.1.286,Carbohydrate metabolism
49,ec:1.1.1.37,Carbohydrate metabolism
50,ec:1.1.1.41,Carbohydrate metabolism
51,ec:1.1.1.42,Carbohydrate metabolism
52,ec:1.1.5.4,Carbohydrate metabolism
53,ec:1.2.4.1,Carbohydrate metabolism
54,ec:1.2.4.2,Carbohydrate metabolism
55,ec:1.2.7.1,Carbohydrate metabolism
56,ec:1.2.7.11,Carbohydrate metabolism
57,ec:1.2.7.3,Carbohydrate metabolism
58,ec:1.3.5.1,Carbohydrate metabolism
59,ec:1.3.5.4,Carbohydrate metabolism
60,ec:1.8.1.4,Carbohydrate metabolism
61,ec:2.3.1.12,Carbohydrate metabolism
62,ec:2.3.1.61,Carbohydrate metabolism
63,ec:2.3.3.1,Carbohydrate metabolism
64,ec:2.3.3.3,Carbohydrate metabolism
65,ec:2.3.3.8,Carbohydrate metabolism
66,ec:2.8.3.18,Carbohydrate metabolism
67,ec:4.1.1.32,Carbohydrate metabolism
68,ec:4.1.1.49,Carbohydrate metabolism
69,ec:4.2.1.2,Carbohydrate metabolism
70,ec:4.2.1.3,Carbohydrate metabolism
71,ec:6.2.1.4,Carbohydrate metabolism
72,ec:6.2.1.5,Carbohydrate metabolism
