score	readID	taxID
196	NB501013:67:HNG37BGX5:1:11110:17756:17636	1
0	NB501013:67:HNG37BGX5:1:11101:18216:14686	0
36992	NB501013:67:HNG37BGX5:1:11105:11637:10334	2
18496	NB501013:67:HNG37BGX5:1:11111:15603:8551	77133
18394	NB501013:67:HNG37BGX5:1:11305:18024:13546	2
1936	NB501013:67:HNG37BGX5:1:11306:9237:6908	77133
15625	NB501013:67:HNG37BGX5:1:11305:9956:18452	77133
18496	NB501013:67:HNG37BGX5:1:11101:15318:3988	77133
5185	NB501013:67:HNG37BGX5:1:11202:17468:8796	693979
18496	NB501013:67:HNG37BGX5:1:12108:4725:9552	1
4498	NB501013:67:HNG37BGX5:1:12111:24914:19731	2
18496	NB501013:67:HNG37BGX5:1:12111:26761:12962	2
15625	NB501013:67:HNG37BGX5:1:12110:1226:12966	2
18496	NB501013:67:HNG37BGX5:1:12104:26822:13517	816
3249	NB501013:67:HNG37BGX5:1:11308:10576:18481	155900
7396	NB501013:67:HNG37BGX5:1:12307:25993:8266	155900
10000	NB501013:67:HNG37BGX5:1:12310:23982:14578	77133
18496	NB501013:67:HNG37BGX5:1:12209:12707:7548	1
17161	NB501013:67:HNG37BGX5:1:12312:4469:14217	2
7328	NB501013:67:HNG37BGX5:1:12312:9913:8610	2
12544	NB501013:67:HNG37BGX5:1:13104:10864:8178	1
18496	NB501013:67:HNG37BGX5:1:12112:7524:12790	2
18496	NB501013:67:HNG37BGX5:1:13102:23984:6121	2
18225	NB501013:67:HNG37BGX5:1:13201:7682:16230	2
18496	NB501013:67:HNG37BGX5:1:13106:11000:18575	39485
18496	NB501013:67:HNG37BGX5:1:12312:2429:7706	1
18496	NB501013:67:HNG37BGX5:1:13302:18940:14491	2
18496	NB501013:67:HNG37BGX5:1:13209:2543:12322	2
18496	NB501013:67:HNG37BGX5:1:13301:22611:4581	2
0	NB501013:67:HNG37BGX5:1:13301:25191:11119	0
4761	NB501013:67:HNG37BGX5:1:13310:17644:3459	2
0	NB501013:67:HNG37BGX5:1:13307:18728:15958	0
18496	NB501013:67:HNG37BGX5:1:21103:22925:14853	2
12769	NB501013:67:HNG37BGX5:1:13312:22307:18198	77133
18496	NB501013:67:HNG37BGX5:1:13312:20301:19749	816
0	NB501013:67:HNG37BGX5:1:21210:20429:9488	0
2809	NB501013:67:HNG37BGX5:1:21308:5470:11466	77133
15625	NB501013:67:HNG37BGX5:1:21308:6036:11300	77133
18496	NB501013:67:HNG37BGX5:1:21109:9039:10220	2
5429	NB501013:67:HNG37BGX5:1:21203:16213:1285	2
18496	NB501013:67:HNG37BGX5:1:21102:11298:2189	2
7488	NB501013:67:HNG37BGX5:1:21312:3286:7291	2
18496	NB501013:67:HNG37BGX5:1:22109:16462:6273	1
5776	NB501013:67:HNG37BGX5:1:22202:9526:16157	162156
2401	NB501013:67:HNG37BGX5:1:22207:19601:10471	1040958
18496	NB501013:67:HNG37BGX5:1:21306:2711:8552	2
5297	NB501013:67:HNG37BGX5:1:22212:11124:1604	214856
18496	NB501013:67:HNG37BGX5:1:22212:16671:10808	1
9216	NB501013:67:HNG37BGX5:1:22207:3353:3979	1423
0	NB501013:67:HNG37BGX5:1:22301:18459:15785	0
7396	NB501013:67:HNG37BGX5:1:23103:13466:6405	657313
18496	NB501013:67:HNG37BGX5:1:22311:20574:12194	1
2500	NB501013:67:HNG37BGX5:1:22303:13027:5710	91347
7393	NB501013:67:HNG37BGX5:1:22308:13473:13771	2
9604	NB501013:67:HNG37BGX5:1:22209:9571:9174	214856
18496	NB501013:67:HNG37BGX5:1:22212:24190:19435	1
18225	NB501013:67:HNG37BGX5:1:23112:11725:8040	77133
0	NB501013:67:HNG37BGX5:1:23105:19729:14165	0
18496	NB501013:67:HNG37BGX5:1:23109:12267:16768	1
4489	NB501013:67:HNG37BGX5:1:23201:26599:8504	77133
18496	NB501013:67:HNG37BGX5:1:23206:9795:19555	2
36992	NB501013:67:HNG37BGX5:1:23207:25710:1211	28116
18496	NB501013:67:HNG37BGX5:1:23208:9259:6486	1747
18225	NB501013:67:HNG37BGX5:1:23209:12621:18192	1747
17424	NB501013:67:HNG37BGX5:1:23302:8124:6740	1
0	NB501013:67:HNG37BGX5:2:11103:23407:7198	0
16722	NB501013:67:HNG37BGX5:1:23202:19910:3064	2
5058	NB501013:67:HNG37BGX5:1:23303:13854:3421	28025
31040	NB501013:67:HNG37BGX5:2:11106:16456:8875	657321
17689	NB501013:67:HNG37BGX5:1:23206:17416:19613	1352
18496	NB501013:67:HNG37BGX5:2:11106:26673:12871	77133
11432	NB501013:67:HNG37BGX5:1:23304:3258:4539	816
1130	NB501013:67:HNG37BGX5:2:11202:9028:8589	657313
18496	NB501013:67:HNG37BGX5:2:11111:5913:12804	1
289	NB501013:67:HNG37BGX5:2:11204:17366:5141	155900
28896	NB501013:67:HNG37BGX5:2:11203:4353:4690	2
18496	NB501013:67:HNG37BGX5:2:11212:8299:4913	286134
32149	NB501013:67:HNG37BGX5:2:11301:26574:9033	2
36721	NB501013:67:HNG37BGX5:2:11303:10534:5693	2
18496	NB501013:67:HNG37BGX5:2:11109:9372:2723	1
36721	NB501013:67:HNG37BGX5:2:11303:6128:1590	28116
1521	NB501013:67:HNG37BGX5:2:11309:24667:19637	77133
2916	NB501013:67:HNG37BGX5:2:12102:8547:16646	77133
18496	NB501013:67:HNG37BGX5:2:12202:10367:18103	1
9014	NB501013:67:HNG37BGX5:2:12202:22890:7978	2
14641	NB501013:67:HNG37BGX5:2:12207:8207:11425	816
36185	NB501013:67:HNG37BGX5:2:12209:21637:13268	657313
18496	NB501013:67:HNG37BGX5:2:12309:14203:11499	77133
36721	NB501013:67:HNG37BGX5:2:13112:12593:10554	2
3060	NB501013:67:HNG37BGX5:2:12201:11118:17678	727
18496	NB501013:67:HNG37BGX5:2:11207:19471:11742	2
27218	NB501013:67:HNG37BGX5:2:12202:5894:15495	1496
18496	NB501013:67:HNG37BGX5:2:13204:18695:5179	2
18225	NB501013:67:HNG37BGX5:2:12302:9279:13637	2
9698	NB501013:67:HNG37BGX5:2:13210:7797:19203	2
25824	NB501013:67:HNG37BGX5:2:13208:17690:9585	2
6084	NB501013:67:HNG37BGX5:2:12209:9031:10355	165185
18496	NB501013:67:HNG37BGX5:2:13307:16875:5645	1
18225	NB501013:67:HNG37BGX5:2:13212:19441:17563	1
18496	NB501013:67:HNG37BGX5:2:13302:22350:9644	1
3721	NB501013:67:HNG37BGX5:2:21103:23120:11115	39485
18496	NB501013:67:HNG37BGX5:2:13308:22857:3480	1
1600	NB501013:67:HNG37BGX5:2:21201:17787:15272	1160721
18496	NB501013:67:HNG37BGX5:2:21112:25564:7522	1
18496	NB501013:67:HNG37BGX5:2:21310:25155:15113	29466
18496	NB501013:67:HNG37BGX5:2:22108:12350:14680	2
8281	NB501013:67:HNG37BGX5:2:21305:21656:7931	77133
12996	NB501013:67:HNG37BGX5:2:22107:9267:17515	1747
12544	NB501013:67:HNG37BGX5:2:21104:20742:7297	39485
7298	NB501013:67:HNG37BGX5:2:22109:3323:15574	2
36992	NB501013:67:HNG37BGX5:2:22112:10498:7049	295405
15625	NB501013:67:HNG37BGX5:2:22201:11306:5505	77133
10242	NB501013:67:HNG37BGX5:2:22109:3426:5462	214856
18496	NB501013:67:HNG37BGX5:2:22204:4957:14237	1
17424	NB501013:67:HNG37BGX5:2:22205:9016:20138	1
3077	NB501013:67:HNG37BGX5:2:22206:16213:2453	28116
7922	NB501013:67:HNG37BGX5:2:22210:10045:19266	29466
18496	NB501013:67:HNG37BGX5:2:22212:22718:6154	2
3560	NB501013:67:HNG37BGX5:2:22310:24902:16085	214856
18225	NB501013:67:HNG37BGX5:2:22310:15451:11900	1
18496	NB501013:67:HNG37BGX5:2:23102:22941:5557	1
18496	NB501013:67:HNG37BGX5:2:23103:13814:13923	77133
11664	NB501013:67:HNG37BGX5:2:22109:1125:1472	1760
0	NB501013:67:HNG37BGX5:2:23203:13550:12998	0
18496	NB501013:67:HNG37BGX5:2:23201:15129:20122	1
18496	NB501013:67:HNG37BGX5:2:22311:25733:15238	1
0	NB501013:67:HNG37BGX5:2:23206:25700:9555	0
18496	NB501013:67:HNG37BGX5:2:23208:7202:5663	374
1681	NB501013:67:HNG37BGX5:3:11401:3441:5007	66219
9025	NB501013:67:HNG37BGX5:3:11404:25646:3552	153152
18225	NB501013:67:HNG37BGX5:3:11402:16014:2498	31957
7056	NB501013:67:HNG37BGX5:2:23305:13713:17266	214856
16900	NB501013:67:HNG37BGX5:3:11405:8620:17277	1747
18496	NB501013:67:HNG37BGX5:3:11510:13725:19158	1
9302	NB501013:67:HNG37BGX5:3:11611:7297:3464	818
18496	NB501013:67:HNG37BGX5:3:11409:11570:12242	186804
8082	NB501013:67:HNG37BGX5:3:12411:2266:1486	2
18496	NB501013:67:HNG37BGX5:3:11601:3060:19481	2
10000	NB501013:67:HNG37BGX5:3:12512:10284:18038	515620
18496	NB501013:67:HNG37BGX5:3:13403:15838:7326	2
10898	NB501013:67:HNG37BGX5:3:12503:7140:5149	816
12402	NB501013:67:HNG37BGX5:3:12507:13280:18147	28025
13924	NB501013:67:HNG37BGX5:3:13412:12165:19016	214856
31952	NB501013:67:HNG37BGX5:3:13409:25557:17593	2
18496	NB501013:67:HNG37BGX5:2:23102:8634:13114	77133
5184	NB501013:67:HNG37BGX5:3:13503:12879:12831	328814
18496	NB501013:67:HNG37BGX5:3:13412:20350:3393	2
18496	NB501013:67:HNG37BGX5:3:13602:2127:3453	657323
5746	NB501013:67:HNG37BGX5:3:21402:7793:19478	1160721
18496	NB501013:67:HNG37BGX5:3:21403:26218:9029	2
18496	NB501013:67:HNG37BGX5:3:21408:22384:10688	2
18496	NB501013:67:HNG37BGX5:3:21406:17123:12333	2
1936	NB501013:67:HNG37BGX5:3:21504:12405:3498	1297617
0	NB501013:67:HNG37BGX5:3:21406:3161:5285	0
18496	NB501013:67:HNG37BGX5:3:21412:13785:16551	816
324	NB501013:67:HNG37BGX5:3:21508:26140:2133	1
18225	NB501013:67:HNG37BGX5:3:21509:22760:4261	1
18496	NB501013:67:HNG37BGX5:3:21507:22853:11323	2
7433	NB501013:67:HNG37BGX5:3:21506:4169:4391	28116
5329	NB501013:67:HNG37BGX5:3:21408:25464:4507	186802
18496	NB501013:67:HNG37BGX5:3:21604:3113:9337	295405
18496	NB501013:67:HNG37BGX5:3:21603:5290:17895	1
18496	NB501013:67:HNG37BGX5:3:22411:15245:18525	2
18496	NB501013:67:HNG37BGX5:3:21509:23351:18767	562
7538	NB501013:67:HNG37BGX5:3:22501:12760:18147	2
