name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
root	1	no rank	0	887	887	0.0
Bacteria	2	superkingdom	0	1167	1167	0.0
Dictyoglomus	13	genus	0	4	4	0.0
Treponema	157	genus	0	2	2	0.0
Leptospira	171	genus	308	1	1	0.0
Leptospira borgpetersenii	174	species	206066	2	2	0.0
Campylobacter	194	genus	0	2	2	0.0
Campylobacter jejuni	197	species	97838675	4	4	0.0
Campylobacter concisus	199	species	2098170	2	2	0.0
Pseudomonas	286	genus	3934	2	2	0
Bradyrhizobium	374	genus	0	5	5	0.0
Neorhizobium galegae	399	species	407869	1	1	0.0
Methylobacterium	407	genus	0	1	1	0.0
Acinetobacter	469	genus	0	1	1	0.0
Moraxella	475	genus	0	1	1	0.0
Enterobacteriaceae	543	family	0	2	2	0.0
Escherichia	561	genus	1442	1	1	0.00336433
Escherichia coli	562	species	809204822	13	13	4.79594e-09
Klebsiella	570	genus	0	1	1	0.0
Klebsiella pneumoniae	573	species	251020287	2	2	5.15352e-09
Xenorhabdus nematophila	628	species	285281	1	1	0.0
Pasteurellaceae	712	family	0	6	6	0.0
Haemophilus influenzae	727	species	12510233	2	2	0.0
Haemophilus parainfluenzae	729	species	180153	1	1	1.08231e-05
Bacteroides	816	genus	0	142	142	0.0
Bacteroides fragilis	817	species	16187040	109	109	2.6817e-06
Bacteroides thetaiotaomicron	818	species	6651449	11	11	3.90557e-07
Parabacteroides distasonis	823	species	47889	147	147	0.00127571
Porphyromonas gingivalis	837	species	5681792	1	1	0.0
Prevotella	838	genus	0	1	1	0.0
Roseburia	841	genus	0	10	10	0.0
Fusobacterium nucleatum	851	species	671730	1	1	0.0
Faecalibacterium prausnitzii	853	species	245060	75	75	6.67815e-06
Dichelobacter nodosus	870	species	301587	1	1	0.0
Desulfovibrio	872	genus	0	1	1	0.0
Megasphaera elsdenii	907	species	77453	2	2	0.0
Bacteroidetes	976	phylum	0	3	3	0.0
Cyanobacteria	1117	phylum	0	2	2	0.0
Gammaproteobacteria	1236	class	0	5	5	0.0
Firmicutes	1239	phylum	0	13	13	0.0
Finegoldia magna	1260	species	38804	1	1	0.0
Ruminococcus	1263	genus	0	4	4	0.0
Ruminococcus albus	1264	species	85124	15	15	0.0
Micrococcaceae	1268	family	0	3	3	0.0
Staphylococcus	1279	genus	0	1	1	0.0
Streptococcus	1301	genus	733	18	18	0.981383
Streptococcus thermophilus	1308	species	18797545	1	1	0.0
Streptococcus parasanguinis	1318	species	388443	1	1	1.66826e-06
Enterococcus	1350	genus	0	1	1	0.0
Enterococcus faecium	1352	species	37211071	2	2	0.0
Lactococcus lactis	1358	species	4510794	1	1	1.43416e-07
Bacillus pumilus	1408	species	48491576	1	1	0.0
Bacillus subtilis	1423	species	77513223	1	1	0.0
Bacillus thuringiensis	1428	species	88586862	1	1	0.0
Clostridium	1485	genus	0	10	10	0.0
Clostridium acetobutylicum	1488	species	95228	1	1	0.0
Clostridium botulinum	1491	species	13171202	2	2	0.0
Clostridioides difficile	1496	species	25586858	9	9	1.01122e-07
Paeniclostridium sordellii	1505	species	6696763	2	2	0.0
[Clostridium] symbiosum	1512	species	29148	2	2	2.34252e-05
Clostridium tyrobutyricum	1519	species	6077146	2	2	0.0
Moorella thermoacetica	1525	species	8176254	1	1	0.0
Clostridium baratii	1561	species	63551	1	1	0.0
Lactobacillus	1578	genus	0	7	7	0.0
Lactobacillus delbrueckii	1584	species	340470	2	2	0.0
Lactobacillus gasseri	1596	species	589421	2	2	1.67813e-06
Actinomyces	1654	genus	0	1	1	0.0
Bifidobacterium	1678	genus	0	31	31	0.0
Bifidobacterium adolescentis	1680	species	4534486	17	17	2.14447e-06
Bifidobacterium bifidum	1681	species	2384096	46	46	1.08988e-05
Corynebacterium	1716	genus	1721	78	78	0.0
Eubacterium limosum	1736	species	4133067	1	1	0.0
Propionibacterium acnes	1747	species	20541228	15	15	2.83408e-07
Actinobacteria	1760	class	0	4	4	0.0
Mycobacterium	1763	genus	1450	1	1	0.0
Rothia dentocariosa	2047	species	119087	1	1	0.0
Spiroplasma	2132	genus	0	1	1	0.0
Bifidobacterium animalis	28025	species	3970852	32	32	2.28634e-06
Bifidobacterium pseudocatenulatum	28026	species	125246	3	3	5.62178e-06
Bacteroides ovatus	28116	species	6527842	365	365	1.32329e-05
Prevotella intermedia	28131	species	6049271	1	1	0.0
Euryarchaeota	28890	phylum	0	1	1	0.0
uncultured crenarchaeote	29281	species	16264208	2	2	0.0
[Clostridium] cellulosi	29343	species	2214216	2	2	0.0
Cellulosilyticum lentocellum	29360	species	4357	3	3	0.0
Veillonella parvula	29466	species	1002898	85	85	1.93522e-05
Propionibacteriaceae	31957	family	0	1	1	0.0
Clostridiaceae	31979	family	0	2	2	0.0
Methylophilaceae	32011	family	0	2	2	0.0
synthetic construct	32630	species	182332087	6	6	0.0
Kyrpidia tusciae	33943	species	2957	10	10	0.0
Acholeplasma oculi	35623	species	1582846	1	1	0.0
[Eubacterium] eligens	39485	species	3369	124	124	0
[Eubacterium] rectale	39491	species	9732	131	131	0.00165731
[Eubacterium] siraeum	39492	species	4915	5	5	0.0
Bradyrhizobiaceae	41294	family	0	10	10	0.0
Butyrivibrio proteoclasticus	43305	species	12215	1	1	0.0
Rothia mucilaginosa	43675	species	2323030	3	3	2.78523e-07
Pseudobutyrivibrio ruminis	46206	species	25157	2	2	0.0
Clostridium chauvoei	46867	species	47562	1	1	1.39701e-05
Bacteroides caccae	47678	species	28270	8	8	0.00188489
Lactobacillus rhamnosus	47715	species	9631471	1	1	6.86095e-08
Lactobacillus crispatus	47770	species	321774	2	2	1.09823e-05
Ralstonia	48736	genus	0	1	1	0.0
Syntrophobotulus glycolicus	51197	species	6135	1	1	0.0
Actinomyces meyeri	52773	species	2045391	2	2	0.0
Raoultella ornithinolytica	54291	species	22693363	1	1	2.8504e-08
Acholeplasma brassicae	61635	species	1850630	2	2	0.0
Kluyvera intermedia	61648	species	6189242	2	2	0.0
Lachnoclostridium phytofermentans	66219	species	6213	8	8	0.0
Fusobacterium nucleatum subsp. polymorphum	76857	subspecies	6712691	1	1	0.0
uncultured bacterium	77133	species	2496490478	907	907	4.53408e-08
Comamonadaceae	80864	family	0	2	2	0.0
Delftia	80865	genus	0	1	1	0.0
Treponema brennaborense	81028	species	5995	5	5	0.0
uncultured Bacillus sp.	83428	species	5319455	1	1	0.0
[Clostridium] saccharolyticum	84030	species	39189	11	11	0.000120249
Eggerthella lenta	84112	species	63294	5	5	5.16877e-05
Micrococcales	85006	order	0	1	1	0.0
Microbacteriaceae	85023	family	0	1	1	0.0
Helicobacter mesocricetorum	87012	species	11559	1	1	0.0
Bacilli	91061	class	0	1	1	0.0
Enterobacterales	91347	order	0	4	4	0.0
Pandoraea	93217	genus	0	1	1	0.0
Buchnera aphidicola (Tuberolachnus salignus)	98804	leaf	297444	1	1	0.0
Aeromonas veronii bv. sobria	114517	leaf	278488	1	1	0.0
uncultured Ralstonia sp.	114715	species	1736399	1	1	0.0
uncultured archaeon	115547	species	141565083	1	1	0.0
Erysipelotrichaceae	128827	family	0	2	2	0.0
Actinomyces radingae	131110	species	2437905	1	1	0.0
Olsenella uli	133926	species	6877	15	15	0.0
Pseudopedobacter saltans	151895	species	5654	1	1	0.0
uncultured Lactobacillus sp.	153152	species	5804802	1	1	0.0
uncultured proteobacterium	153809	species	10766982	2	2	0.0
uncultured organism	155900	species	299209917	264	264	1.77263e-07
uncultured Prevotella sp.	159272	species	1786185	1	1	0.0
uncultured Porphyromonas sp.	159274	species	209654	1	1	0.0
uncultured Bacteroides sp.	162156	species	1941218	4	4	3.37883e-07
Weissella koreensis	165096	species	42874	1	1	0.0
uncultured Eubacterium sp.	165185	species	505202	1	1	0.0
uncultured Ruminococcus sp.	165186	species	352397	27	27	0.0
uncultured Flavobacterium sp.	165435	species	1858823	1	1	0.0
Roseburia intestinalis	166486	species	12053	17	17	0.000552992
uncultured Mycoplasma sp.	167967	species	520150	1	1	0.0
Clostridium saccharobutylicum	169679	species	54140	1	1	0.0
Bacteroidales	171549	order	0	54	54	0.0
uncultured Acidobacteria bacterium	171953	species	15728868	6	6	0.0
Clostridia	186801	class	0	2	2	0.0
Clostridiales	186802	order	0	71	71	0.0
Lachnospiraceae	186803	family	0	36	36	0.0
Peptostreptococcaceae	186804	family	0	4	4	0.0
Thermotogae	188708	class	0	3	3	0.0
uncultured Bacteroidales bacterium	194843	species	5144486	14	14	1.00618e-06
uncultured prokaryote	198431	species	36609162	1	1	1.76683e-08
[Clostridium] bolteae	208479	species	6548	4	4	0.0
uncultured Burkholderiales bacterium	208544	species	1386512	17	17	3.734e-06
Mycobacterium sp. JS623	212767	species	7209703	1	1	0.0
Ruminococcus champanellensis 18P13 = JCM 17042	213810	leaf	2518918	1	1	0.0
Alistipes finegoldii	214856	species	9212	427	427	0.00754116
Bifidobacterium longum	216816	species	12274624	12	12	4.74652e-07
Corynebacterium halotolerans	225326	species	1490	1	1	0.0
Bacteroides thetaiotaomicron VPI-5482	226186	leaf	6254248	4	4	0.0
Arsenophonus endosymbiont of Trialeurodes vaporariorum	235567	species	13155	1	1	0.0
Alistipes	239759	genus	0	33	33	0.0
Pseudonocardia dioxanivorans	240495	species	382	1	1	0.0
butyrate-producing bacterium SM4/1	245012	species	2418285	10	10	0.0
