,GeneID,EC#,EC,Superpathway
0,gi|284047386|ref|NC_013740.1|:c1753819-1752638|905|g__Acidaminococcus.s__Acidaminococcus_fermentans|UniRef90_D2RLJ3|UniRef50_C7XRX0,ec:0.0.0.0,,
1,gi|483974777|ref|NZ_AMRP01000522.1|:c2564-1545|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_F0Q4V9|UniRef50_E6WRK7,ec:0.0.0.0,,
2,gi|491170336|ref|NZ_KB849754.1|:33503-34879|106648|g__Acinetobacter.s__Acinetobacter_bereziniae|UniRef90_N9FBR6|UniRef50_N9FBR6,ec:0.0.0.0,,
3,gi|490961726|ref|NZ_KB849456.1|:1077610-1077948|106649|g__Acinetobacter.s__Acinetobacter_guillouiae|UniRef90_A0A023RY93|UniRef50_R5DZN3,ec:5.2.1.8,,
4,gi|262374339|ref|NZ_GG705015.1|:98383-99744|40215|g__Acinetobacter.s__Acinetobacter_junii|UniRef90_D0SQQ4|UniRef50_R5BQF8,ec:0.0.0.0,,
5,gi|262377240|ref|NZ_GG705065.1|:c9186-7213|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9NXK7|UniRef50_I1XWU0,ec:0.0.0.0,,
6,gi|491392098|ref|NZ_KB850140.1|:137859-138251|1144665|g__Acinetobacter.s__Acinetobacter_sp_CIP_102136|UniRef90_N9NVV4|UniRef50_F0KJD9,ec:0.0.0.0,,
7,gi|491379306|ref|NZ_KB850113.1|:c1886707-1886072|1217693|g__Acinetobacter.s__Acinetobacter_sp_NIPH_2171|UniRef90_unknown|UniRef50_A1U241,ec:2.4.2.9,ec:2.4.2.9,Nucleotide metabolism
7,gi|491379306|ref|NZ_KB850113.1|:c1886707-1886072|1217693|g__Acinetobacter.s__Acinetobacter_sp_NIPH_2171|UniRef90_unknown|UniRef50_A1U241,ec:2.4.2.9,ec:2.4.2.9,Global and overview maps
8,gi|357631984|ref|NZ_AFIE01000131.1|:c858-625|1029823|g__Acinetobacter.s__Acinetobacter_sp_P8_3_8|UniRef90_UPI0002487686|UniRef50_W6TYG1,ec:0.0.0.0,,
9,gi|357631984|ref|NZ_AFIE01000131.1|:1-367|1029823|g__Acinetobacter.s__Acinetobacter_sp_P8_3_8|UniRef90_UPI0002487685|UniRef50_UPI0002487685,ec:0.0.0.0,,
10,gi|483961112|ref|NZ_CAEF01000345.1|:9110-9691|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_I3YPD1|UniRef50_I3YPD1,ec:0.0.0.0,,
11,gi|483963103|ref|NZ_CAEF01000834.1|:4196-4489|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_unknown|UniRef50_unknown,ec:0.0.0.0,,
12,gi|483963569|ref|NZ_CAEF01000949.1|:c791-267|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_UPI000288657E|UniRef50_I3YHM8,ec:0.0.0.0,,
13,gi|483963126|ref|NZ_CAEF01000839.1|:1868-2278|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_I3YQB8|UniRef50_B0JY35,ec:0.0.0.0,,
14,gi|483960884|ref|NZ_CAEF01000283.1|:c6649-5324|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_I3YM37|UniRef50_R5VG84,ec:0.0.0.0,,
15,gi|483961829|ref|NZ_CAEF01000521.1|:c8915-7638|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_UPI0002FED436|UniRef50_I3YQX6,ec:0.0.0.0,,
16,gi|483961922|ref|NZ_CAEF01000546.1|:6362-9412|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_unknown|UniRef50_unknown,ec:0.0.0.0,,
17,gi|483962934|ref|NZ_CAEF01000796.1|:7676-9544|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_unknown|UniRef50_A4BWH2,ec:0.0.0.0,,
18,gi|483961187|ref|NZ_CAEF01000366.1|:7734-8552|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_unknown|UniRef50_unknown,ec:0.0.0.0,,
19,gi|444344233|ref|NZ_AJMF01000162.1|:c515-252|714|g__Aggregatibacter.s__Aggregatibacter_actinomycetemcomitans|UniRef90_G4AW29|UniRef50_G4AC10,ec:0.0.0.0,,
20,gi|408375858|ref|NZ_AMRJ01000061.1|:c2984-8|519051|g__Alcanivorax.s__Alcanivorax_hongdengensis|UniRef90_unknown|UniRef50_O00370,ec:0.0.0.0,,
21,gi|390945347|ref|NC_018011.1|:c549549-548581|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YMB1|UniRef50_I3ZXS7,ec:0.0.0.0,,
22,gi|390945347|ref|NC_018011.1|:1087517-1088725|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJB1|UniRef50_I3YJB1,ec:0.0.0.0,,
23,gi|390945347|ref|NC_018011.1|:2564007-2564621|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YNJ9|UniRef50_R6VU18,ec:0.0.0.0,,
24,gi|390945347|ref|NC_018011.1|:1922463-1923077|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM16|UniRef50_B3EUM3,ec:0.0.0.0,,
25,gi|390945347|ref|NC_018011.1|:c1689877-1689272|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YLJ1|UniRef50_R7JGA9,ec:0.0.0.0,,
26,gi|390945347|ref|NC_018011.1|:3346408-3347064|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_R6VLN4|UniRef50_B7UZU0,ec:1.6.5.8,,
27,gi|390945347|ref|NC_018011.1|:2850132-2850680|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YP69|UniRef50_R6CY33,ec:0.0.0.0,,
28,gi|390945347|ref|NC_018011.1|:c451932-451372|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YIH6|UniRef50_I3YIH6,ec:0.0.0.0,,
29,gi|390945347|ref|NC_018011.1|:c3697988-3697443|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YR79|UniRef50_R6BST1,ec:0.0.0.0,,
30,gi|390945347|ref|NC_018011.1|:c892064-891534|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJP6|UniRef50_I3YJP6,ec:0.0.0.0,,
31,gi|390945347|ref|NC_018011.1|:1930184-1930771|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YM32|UniRef50_A6KYI0,ec:0.0.0.0,,
32,gi|390945347|ref|NC_018011.1|:c679466-678882|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YJ25|UniRef50_D4INZ1,ec:0.0.0.0,,
33,gi|390945347|ref|NC_018011.1|:c3232523-3231927|214856|g__Alistipes.s__Alistipes_finegoldii|UniRef90_I3YQ44|UniRef50_R6JE51,ec:0.0.0.0,,
