GeneID	Length	#Reads	EC#	RPKM	Eukaryota	Archaea	Bacteria	Bacteroidetes	Actinobacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteria	Alphaproteobacteria	Firmicutes	Bacilli	Clostridia	Lachnospiraceae	Eubacteriaceae	Ruminococcaceae	Clostridiaceae	Oscillospiraceae	Other
gi|284047386|ref|NC_013740.1|:c1753819-1752638|905|g__Acidaminococcus.s__Acidaminococcus_fermentans|UniRef90_D2RLJ3|UniRef50_C7XRX0	1182	1	0.0.0.0	34.8387287375755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	592.258388538783
gi|483974777|ref|NZ_AMRP01000522.1|:c2564-1545|80869|g__Acidovorax.s__Acidovorax_citrulli|UniRef90_F0Q4V9|UniRef50_E6WRK7	1020	1	0.0.0.0	40.3719385958963	0	0	0	40.3719385958963	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|491170336|ref|NZ_KB849754.1|:33503-34879|106648|g__Acinetobacter.s__Acinetobacter_bereziniae|UniRef90_N9FBR6|UniRef50_N9FBR6	1377	2	0.0.0.0	59.8102794013278	0	0	0	0	0	0	59.8102794013278	0	0	0	0	0	0	0	0	0	0	0
gi|490961726|ref|NZ_KB849456.1|:1077610-1077948|106649|g__Acinetobacter.s__Acinetobacter_guillouiae|UniRef90_A0A023RY93|UniRef50_R5DZN3	339	1	5.2.1.8	121.473089580573	0	0	0	0	0	0	121.473089580573	0	0	0	0	0	0	0	0	0	0	0
gi|262374339|ref|NZ_GG705015.1|:98383-99744|40215|g__Acinetobacter.s__Acinetobacter_junii|UniRef90_D0SQQ4|UniRef50_R5BQF8	1362	1	0.0.0.0	30.2344914594818	0	0	0	0	0	0	30.2344914594818	0	0	0	0	0	0	0	0	0	0	0
gi|262377240|ref|NZ_GG705065.1|:c9186-7213|28090|g__Acinetobacter.s__Acinetobacter_lwoffii|UniRef90_N9NXK7|UniRef50_I1XWU0	1974	1	0.0.0.0	20.8608801255391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354.634962134165
gi|491392098|ref|NZ_KB850140.1|:137859-138251|1144665|g__Acinetobacter.s__Acinetobacter_sp_CIP_102136|UniRef90_N9NVV4|UniRef50_F0KJD9	393	1	0.0.0.0	104.782130706906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1781.29622201741
gi|491379306|ref|NZ_KB850113.1|:c1886707-1886072|1217693|g__Acinetobacter.s__Acinetobacter_sp_NIPH_2171|UniRef90_unknown|UniRef50_A1U241	636	1	2.4.2.9	64.7474486915318	0	0	0	0	0	0	64.7474486915318	0	0	0	0	0	0	0	0	0	0	0
gi|357631984|ref|NZ_AFIE01000131.1|:c858-625|1029823|g__Acinetobacter.s__Acinetobacter_sp_P8_3_8|UniRef90_UPI0002487686|UniRef50_W6TYG1	234	1	0.0.0.0	175.980245161599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2991.66416774718
gi|357631984|ref|NZ_AFIE01000131.1|:1-367|1029823|g__Acinetobacter.s__Acinetobacter_sp_P8_3_8|UniRef90_UPI0002487685|UniRef50_UPI0002487685	367	3	0.0.0.0	336.616163769598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5722.47478408317
gi|483961112|ref|NZ_CAEF01000345.1|:9110-9691|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_I3YPD1|UniRef50_I3YPD1	582	1	0.0.0.0	70.7549439309522	0	0	0	70.7549439309522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|483963103|ref|NZ_CAEF01000834.1|:4196-4489|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_unknown|UniRef50_unknown	294	1	0.0.0.0	140.065909414334	0	0	0	140.065909414334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|483963569|ref|NZ_CAEF01000949.1|:c791-267|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_UPI000288657E|UniRef50_I3YHM8	525	1	0.0.0.0	78.436909272027	0	0	0	78.436909272027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|483963126|ref|NZ_CAEF01000839.1|:1868-2278|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_I3YQB8|UniRef50_B0JY35	411	1	0.0.0.0	100.193132281786	0	0	0	100.193132281786	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|483960884|ref|NZ_CAEF01000283.1|:c6649-5324|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_I3YM37|UniRef50_R5VG84	1326	1	0.0.0.0	31.0553373814587	0	0	0	31.0553373814587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|483961829|ref|NZ_CAEF01000521.1|:c8915-7638|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_UPI0002FED436|UniRef50_I3YQX6	1278	2	0.0.0.0	64.4434700591772	0	0	0	64.4434700591772	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gi|483961922|ref|NZ_CAEF01000546.1|:6362-9412|1464554|g__Aeromicrobium.s__Aeromicrobium_sp_JC14|UniRef90_unknown|UniRef50_unknown	3051	1	0.0.0.0	13.497009953397	0	0	0	0	0	0	0	13.497009953397	0	0	0	0	0	0	0	0	0	0
